symbol,LongGamma_Entry,ShortVega_Entry,End_LongGamma_Condition,Ensemble_vs_IV,Abs_Ensemble_vs_IV,Volatility_Regime,Diversification_Tag
UVXY,0.0,0.0,1.0,64.88662235982184,64.88662235982184,MIXED_REGIME,Primary pick — Macro Regime
VIXY,0.0,0.0,1.0,43.92566560407223,43.92566560407223,MIXED_REGIME,Primary pick — Macro Regime
SMH,0.0,0.0,1.0,14.552477561342322,14.552477561342322,STABLE_REGIME,Primary pick — Macro Regime
AAPL,0.0,0.0,1.0,11.049147999584608,11.049147999584608,MIXED_REGIME,Primary pick — Macro Regime
XLK,0.0,0.0,1.0,10.234569622102718,10.234569622102718,MIXED_REGIME,Primary pick — Macro Regime
MSFT,0.0,0.0,1.0,9.955815583619763,9.955815583619763,STABLE_REGIME,Primary pick — Macro Regime
XLF,0.0,0.0,1.0,9.834611694100754,9.834611694100754,MIXED_REGIME,Primary pick — Macro Regime
IWM,0.0,0.0,1.0,9.026948508142894,9.026948508142894,MIXED_REGIME,Primary pick — Macro Regime
XLY,0.0,0.0,1.0,7.737899961408935,7.737899961408935,STABLE_REGIME,Primary pick — Macro Regime
DIA,0.0,1.0,1.0,7.400663353079468,7.400663353079468,STABLE_REGIME,Primary pick — Macro Regime
SPY,0.0,0.0,1.0,5.7616009962940815,5.7616009962940815,STABLE_REGIME,Primary pick — Macro Regime
TLT,0.0,0.0,1.0,3.754402029017193,3.754402029017193,MIXED_REGIME,Primary pick — Macro Regime
QQQ,0.0,0.0,1.0,3.2129852456434342,3.2129852456434342,MIXED_REGIME,Primary pick — Macro Regime
IEF,0.0,0.0,1.0,2.6589990464254742,2.6589990464254742,MIXED_REGIME,Primary pick — Macro Regime
LQD,0.0,1.0,1.0,1.7468400341778736,1.7468400341778736,MIXED_REGIME,Primary pick — Macro Regime
,,,,,,,
SUMMARY,0.0,2.0,15.0,,,,
